id,name,list_ingrid,image_url,list_bzu,list_resipe,recept_link
1e27a5ee-ce89-11ea-bf39-0242ac1c0002,Ризотто с шампиньонами,"['Рис арборио', 'Сливочное масло', 'Лук репчатый', 'Белое сухое вино', 'Куриный бульон', 'Шампиньоны', 'Соль', 'Шафран']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/160822164559/160901074921/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120723182135/120730120141/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/150715140424/150721101010/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/130314030255/130324152412/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/150428090447/150502155655/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131085505/131018210333/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120723182135/120730121146/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/150506002001/150623103454/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140227144100/161003220416/p_O.jpg']","['Калорийность 538 ккал', 'Белки 13,7 грамм', 'Жиры 23,2 грамм', 'Углеводы 61,7 грамм']","['1. Лук мелко нарезать и обжаривать в сотейнике на сливочном масле до тех пор, пока лук не начнет пахнуть жареным, добавить мелко нарезанные шампиньоны, обжарить их, пока не выпустят воду. Тогда всыпать в сотейник рис и обжаривать его вместе с луком и грибами две минуты, постоянно помешивая.', '2. Залить рис и лук куриным бульоном и вином. Варить без крышки, постоянно помешивая. Когда бульон и вино выпарятся наполовину, добавить крошечную щепотку шафрана, посолить. Помешивая, варить, пока рис не приготовится. Если жидкость выкипит слишком рано, долить воды, вина или бульона.']",https://eda.ru/recepty/rizotto/rizotto-s-shampinonami-17656
1e6549c6-ce89-11ea-b0ea-0242ac1c0002,Ризотто с перцем,"['Лук репчатый', 'Чеснок', 'Зеленый перец', 'Свежие грибы', 'Растительное масло', 'Куриная грудка', 'Рис арборио', 'Специи', 'Куриный бульон', 'Консервированный зеленый горошек', 'Консервированные помидоры', 'Свежий красный перец']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213180745/120213180958/p_O.jpg'],"['Калорийность 427 ккал', 'Белки 39 грамм', 'Жиры 11,4 грамм', 'Углеводы 42,7 грамм']","['1. Обжарьте нарезанный лук, зубчик чеснока, нарезанный перец в растительном масле. Когда все станет мягким, добавьте нарезанные грибы, приготовленную и нарезанную курицу, рис и специи. Помешивая, налейте горячий куриный бульон.', '2. Закройте крышкой и пеките в духовке при 180 градусах около 30 минут или пока не сварится.', '3. Перед подачей на стол, добавьте консервированные томаты, горошек и хорошо перемешайте.']",https://eda.ru/recepty/rizotto/rizotto-s-percem-18390
1e76bc4c-ce89-11ea-882f-0242ac1c0002,Копченое ризотто с лисичками,"['Рис карнароли', 'Маленькие лисички', 'Чеснок', 'Лук-шалот', 'Сливочное масло', 'Оливковое масло', 'Белое сухое вино', 'Петрушка', 'Зеленый лук', 'Тертый сыр пармезан', 'Куриный бульон', 'Соль', 'Перец черный молотый']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120213182735/180628121900/p_O.jpg'],"['Калорийность 529 ккал', 'Белки 17,1 грамм', 'Жиры 30,3 грамм', 'Углеводы 45,2 грамм']","['1. У трех зубчиков чеснока вынуть сердцевину (она горчит) и мелко нарезать. Шалот нарезать мелким кубиком.', '2. В сотейнике разогреть 50 г сливочного и 50 мл оливкового масла, на небольшом огне обжарить чеснок до легкого аромата, добавить шалот, пассеровать еще пару минут.', '3. Добавить в сотейник рис, щепотку соли и обжарить в течение 2–3 минут. Влить вино, выпарить в течение пары минут, помешивая. Влить половник горячего куриного бульона, помешивать, пока бульон не выпарится, снова влить половник бульона и продолжать таким образом готовить, пока рис не дойдет до состояния аль денте. Это займет около 20 минут.', '4. Лисички разломить на половинки. Два небольших зубчика чеснока раздавить и обжарить на сковороде с 50 мл оливкового масла пару минут, затем вынуть. Бросить в сковороду лисички, посолить, поперчить, обжарить в течение 5–7 минут.', '5. Добавить грибы к ризотто, перемешать, добавить сливочное масло, каплю вина, измельченную петрушку и зеленый лук, пармезан.']",https://eda.ru/recepty/rizotto/kopchenoe-rizotto-s-lisichkami-125473
1e8247e2-ce89-11ea-a5e7-0242ac1c0002,Ризотто с запеченными томатами,"['Помидоры', 'Чеснок', 'Тимьян', 'Оливковое масло', 'Овощной бульон', 'Лук репчатый', 'Фенхель', 'Сливочное масло', 'Рис арборио', 'Сухой вермут', 'Сыр пармезан']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/170228105509/191127200102/p_O.png', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/150123012635/191111173203/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/170228105509/191218223629/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/170228105509/191220200939/p_O.jpg']","['Калорийность 878 ккал', 'Белки 11,5 грамм', 'Жиры 59,7 грамм', 'Углеводы 68,4 грамм']","['1. Разогреть духовку до 180 градусов. Вырезать сердцевинки у помидоров, положить их срезом вниз в подходящую по размеру форму, добавить целую головку чеснока и посыпать веточками тимьяна. Сбрызнуть 1 столовой ложкой оливкового масла, приправить морской солью и запекать примерно 1 час, пока помидоры не начнут лопаться, пуская ароматный сок (он понадобится в конце).', '2. Довести бульон до кипения. Мелко нарубить лук и фенхель (зелень фенхеля сохранить), положить в большую глубокую сковороду и поставить на средний огонь, добавив 1 столовую ложку оливкового масла и 1 кусочек сливочного. Готовить 10 минут до мягкости, но не давать подрумяниться, периодически помешивать. Высыпать рис и жарить еще 2 минуты. Добавить вермут и готовить, помешивая, пока он полностью не выпарится. Влить половник бульона и дать ему впитаться, прежде чем добавить следующий. Готовить таким образом, не прекращая помешивать, пока не используется весь бульон — на это уйдет 16–18 минут.', '3. Выключить огонь, добавить оставшийся кусочек сливочного масла и натертый пармезан, приправить и тщательно перемешать. Накрыть сковороду крышкой и дать постоять 2 минуты, чтобы ризотто стало нежным и тягучим.', '4. Разложить по теплым тарелкам, выложить сверху по помидору и зубчику чеснока, посыпать зеленью фенхеля и полить ароматным соком из противня.']",https://eda.ru/recepty/rizotto/rizotto-s-zapechennymi-tomatami-137739
1ef8cc50-ce89-11ea-bf39-0242ac1c0002,Ризотто по‑милански,"['Рис', 'Куриный бульон', 'Сыр пармезан', 'Лук репчатый', 'Лук-порей', 'Чеснок', 'Шафран', 'Помидоры', 'Сливочное масло', 'Оливковое масло', 'Белое сухое вино', 'Петрушка', 'Соль', 'Перец черный молотый']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/130829212936/130904195714/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/160422161545/160429220304/p_O.jpg']","['Калорийность 861 ккал', 'Белки 20,3 грамм', 'Жиры 43,4 грамм', 'Углеводы 90,4 грамм']","['1. Развести в 50 мл кипятка щепотку шафрана. Репчатый лук, чеснок и порей мелко порубить.', '2. На смеси масел (100 г сливочного и 50 мл оливкового) обжарить до почти прозрачной мягкости лук, добавить чеснок и порей и обжарить их до появления чесночного аромата. Порей за это время успеет стать мягким. Добавить рис и жарить его с овощами две-три минуты. Рис должен основательно пропитаться маслом.', '3. Влить треть имеющегося бульона, белое вино и варить рис, постоянно помешивая. Как только бульон закипит, огонь надо уменьшить. Чтобы жидкость лишь слегка побулькивала. Варить, постоянно помешивая и добавляя бульон. Через пять минут влить в рис настой шафрана и продолжать историю с помешиванием и доливом бульона.', '4. Минут через пятнадцать можно начать пробовать рис, и как только вам покажется, что он почти готов, только где-то внутри рисинки еще таится чуть-чуть твердости, надо посолить и поперчить ризотто, перемешать его с мелко нарубленной петрушкой, добавить еще чуть-чуть бульона, остаток сливочного масла (20 г), две минуты варить, помешивая.', '5. Снять с огня и разложить по тарелкам, добавив в каждую немного салата из мелко нарубленных свежих помидоров, перемешанных с оливковым маслом и небольшим количеством рубленого лука, и посыпать тертым пармезаном.']",https://eda.ru/recepty/rizotto/rizotto-po-milanski-15902
1f23ee9e-ce89-11ea-b0ea-0242ac1c0002,Ризотто с морепродуктами,"['Оливковое масло', 'Рыбный бульон', 'Лук репчатый', 'Чеснок', 'Стебель сельдерея', 'Рис для ризотто', 'Мидии в ракушках', 'Филе синеглазки', 'Очищенные креветки', 'Рубленая петрушка', 'Орегано', 'Листья тмина']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213182735/120213182838/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/151223165017/160103120752/p_O.jpg']",[],"['1. Налейте бульон в кастрюлю и доведите до кипения. Уменьшите огонь и оставьте медленно кипеть, закрыв крышкой.', '2. Разогрейте оливковое масло в большой сковороде на среднем огне. Добавьте мелко нарезанные лук, чеснок и сельдерей и готовьте 2-3 минуты. Добавьте 2 столовые ложки воды, накройте крышкой и готовьте около 5 минут, пока овощи не станут мягкими. Добавьте рис и готовьте, помешивая, 3-4 минуты.', '3. Постепенно добавьте 125 мл горячего бульона, постоянно помешивая на маленьком огне, пока весь бульон не выпарится. Повторите, добавляя по 125 мл бульона, пока рис не сварится.', '4. Тем временем, в большой кастрюле доведите 3 столовые ложки воды до кипения. Добавьте мидии, накройте крышкой и готовьте 4-5 минут, иногда встряхивая кастрюлю, пока мидии не откроются. Слейте воду и удалите не открывшиеся раковины.', '5. В рис добавьте нарезанную рыбу, креветки и оставшийся горячий бульон. Хорошо перемешайте и готовьте 5-10 минут. Снимите с огня, добавьте мидии, накройте крышкой и оставьте на 5 минут. Добавьте петрушку, орегано и тмин. Посолите.']",https://eda.ru/recepty/rizotto/rizotto-s-moreproduktami-19819
1f412a68-ce89-11ea-882f-0242ac1c0002,Ризотто с креветками и тобанджаном,"['Рис арборио', 'Креветки', 'Лук репчатый', 'Рыбный бульон', 'Сливки', 'Вермут', 'Растительное масло', 'Сливочное масло', 'Рубленая петрушка', 'Соль', 'Соус тобадзян']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/130619134157/130628180938/p_O.jpg'],"['Калорийность 355 ккал', 'Белки 20,4 грамм', 'Жиры 11,1 грамм', 'Углеводы 41,8 грамм']","['1. Мелко нарубленный лук обжарить до мягкости на смеси сливочного и растительного масла, добавить рис и жарить, помешивая, пока рис не пропитается маслом.', '2. Влить вермут. Готовить, помешивая, пока весь вермут не выпарится. Залить рис в сотейнике половиной рыбного бульона и\xa0варить, помешивая и добавляя бульон понемногу, по мере того как он выкипает.', '3. Через двенадцать минут после добавления бульона влить сливки, отправить в сотейник соус \xadтобанджан, щепотку соли, рубленую петрушку и\xa0крупные креветки, готовить, перемешивая, еще примерно пять минут.']",https://eda.ru/recepty/rizotto/rizotto-s-krevetkami-i-tobandzhanom-37616
1f577a34-ce89-11ea-a5e7-0242ac1c0002,Ризотто с кукумарией,"['Рис арборио', 'Замороженная кукумария', 'Лук-шалот', 'Стебель сельдерея', 'Чеснок', 'Морковь', 'Сыр пармезан', 'Сливочное масло', 'Оливковое масло', 'Красное сухое вино', 'Томатная паста', 'Куриный бульон', 'Сливки 33%-ные', 'Петрушка', 'Тимьян', 'Соль', 'Перец черный молотый']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140201143522/140206120922/p_O.jpg'],"['Калорийность 917 ккал', 'Белки 25,9 грамм', 'Жиры 58,3 грамм', 'Углеводы 56,4 грамм']","['1. Две трети размороженной кукумарии нарезать соломкой толщиной 5 мм. Оставшуюся треть — мелкими кубиками.', '2. Нарубить 40 грамм шалота и зубчик чеснока, нарезать морковь и сельдерей кружочками. Обжарить с половиной тимьяна на сливочном масле, добавить томатную пасту, перемешать, подержать на огне еще немного. Влить 60 мл вина, выпарить его наполовину. Добавить соломку кукумарии, снять с огня и дать настояться час.', '3. Мелко нарезать остатки лука, чеснока и тимьяна, обжарить на оливковом масле. Добавить рис, его немного обжарить тоже, следом добавить кубики кукумарии. Влить 320 мл вина и выпарить. Порциями, выпаривая каждую, влить горячий куриный бульон. Когда выпарится и он, вмешать тертый пармезан. Добавить сливки, посолить, поперчить и снять с огня.', '4. Разложить по тарелкам ризотто и разогретую кукумарию, украсить петрушкой.']",https://eda.ru/recepty/rizotto/rizotto-s-kukumariej-33459
1f84906e-ce89-11ea-bf39-0242ac1c0002,Ризотто со сливками и сладким перцем,"['Рис', 'Сливочное масло', 'Сладкий перец', 'Лук репчатый', 'Чеснок', 'Овощной бульон', 'Херес', 'Сливки 35%-ные', 'Тимьян', 'Соль', 'Перец черный молотый']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/130829212936/130904200031/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/131004132748/131013001634/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131082543/130909164346/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120213175233/1202131753242/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120126130718/120424121454/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/131004132748/131013001551/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213175233/1202131753241/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140622144901/160815205011/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/160321003649/170127224844/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131084308/170928150852/p_O.jpg']","['Калорийность 715 ккал', 'Белки 10,4 грамм', 'Жиры 30,6 грамм', 'Углеводы 94 грамм']","['1. Растопить в глубокой сковороде сливочное масло (80 г) и обжарить на нем мелко нарубленный лук. Лук должен стать совершенно мягким и полупрозрачным. Всыпать рис и обжаривать его несколько минут, постоянно помешивая. Добавить мелко нарубленный чеснок, перемешать, потомить вместе с рисом, маслом и луком; как только чеснок практически растворится в массе риса и лука и начнет издавать свой характернейший из запахов, влить в сковороду сухой херес, перемешать с рисом и овощами и, убрав до минимума огонь, выпаривать алкоголь, постоянно помешивая.', '2. Как только о присутствии хереса станет напоминать исключительно его аромат, влить в сковороду треть бульона, перемешать содержимое сковороды, чтобы бульон проник во все самые тайные норки, и варить рис на медленном огне, доливая бульон по мере его выкипания.', '3. На оставшемся сливочном масле обжарить мелко нарезанные и очищенные от семечек и прочих внутренних излишеств перцы. Перцы должны стать мягкими и начать пахнуть жареным.', '4. Всыпать перцы в сковороду с полуготовым ризотто, посолить, поперчить, перемешать, долить бульон и продолжать ту же канитель с варкой — помешивать, доливать бульон.', '5. Когда рис будет практически готов, вмешать в него сливки. Выключить огонь и еще примерно минуту помешивать содержимое сковороды, чтобы добиться кремовой консистенции ризотто.', '6. Подавать, посыпав листочками тимьяна.']",https://eda.ru/recepty/rizotto/rizotto-so-slivkami-sladkim-percem-15911
1fc14914-ce89-11ea-b0ea-0242ac1c0002,Ризотто алла миланезе,"['Рис арборио', 'Сливочное масло', 'Шафран', 'Лук репчатый', 'Белое сухое вино', 'Куриный бульон', 'Тертый сыр пармезан', 'Соль', 'Свежемолотый черный перец']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131082327/170426153732/p_O.jpg'],"['Калорийность 810 ккал', 'Белки 24,7 грамм', 'Жиры 32,4 грамм', 'Углеводы 101 грамм']","['1. Растопить 60 г сливочного масла, бросить мелко нарезанный лук и тушить его на небольшом огне, пока не размягчится.', '2. Добавить рис и готовить 1-2 минуты, затем влить вино и добавить молотый шафран и соль. Увеличить огонь и тушить, перемешивая, пока жидкость не впитается.', '3. Добавить половник горячего бульона, перемешать, дать в рису впитать влагу но не засохнуть. Постепенно добавлять бульон, постоянно помешивая, не давая рису пригореть ко дну.', '4. Когда рис будет готов, снять с огня, вмешать в него оставшееся сливочное масло и тертый пармезан. Подавать украсив свежемолотым перцем и пармезаном.']",https://eda.ru/recepty/rizotto/rizotto-ala-milaneze-92782
