id,name,list_ingrid,image_url,list_bzu,list_resipe,recept_link
b17bdabe-ce88-11ea-99f8-0242ac1c0002,Сырные тосты на сковородке,"['Белый хлеб', 'Сливочное масло', 'Сыр', 'Растительное масло']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120705181646/120719180807/p_O.jpg'],"['Калорийность 257 ккал', 'Белки 8,1 грамм', 'Жиры 18,3 грамм', 'Углеводы 14,7 грамм']","['1. Обычные ломтики белого хлеба разделяем на 2 стопки. На первые 3 ломтика кладем кусочек сыра, сверху — ломтик масла сливочного. Оставшимися ломтиками хлеба из второй стопки накрываем сверху получившиеся бутерброды.', '2. На раскаленную сковороду наливаем растительного масла, кладем будущие тосты, но особенным способом. Сверху необходимо придавить тосты, положив на них чего-нибудь тяжеленькое (например, тарелку, а на тарелку кастрюльку с супчиком).', '3. Через несколько минут переворачиваем тосты и таким же образом придавливаем их.']",https://eda.ru/recepty/sendvichi/sirnie-tosti-na-skovorodke-32573
b1e4b99e-ce88-11ea-8161-0242ac1c0002,"Сэндвич с яичницей, беконом и сыром","['Бекон', 'Белый хлеб', 'Сыр эдам', 'Помидоры', 'Майонез', 'Сливочное масло', 'Яйцо куриное', 'Листья латука']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/130829212936/130904171008/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120213175727/120213175904/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/150420184224/150804203921/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131111615/120624130812/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120213175727/120213175908/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/110805165929/140914115350/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/150626190443/150805040116/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140504151741/140509184139/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/140504151741/140509184156/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131111725/120624130847/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/141203013729/141213120755/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131084308/170930142012/p_O.jpg']","['Калорийность 449 ккал', 'Белки 17,1 грамм', 'Жиры 36,9 грамм', 'Углеводы 11,5 грамм']","['1. Поджарить тонкие ломтики бекона до золотистой корочки.', '2. Подогреть хлеб и одну половину сэндвича намазать майонезом (можно приготовить самостоятельно), на вторую положить сыр, ломтики помидоров, бекон и латук.', '3. Тем временем на сливочном масле поджарить небольшую глазунью — такую, чтобы желток был полуготовым.', '4. Выложить глазунью на латук, закрыть другой половинкой сэндвича и подавать.']",https://eda.ru/recepty/sendvichi/sjendvich-s-jaichnicej-bekonom-sirom-17380
b1fcb742-ce88-11ea-a62c-0242ac1c0002,Брускетта с креветками и фетой,"['Очищенные креветки', 'Помидоры черри', 'Оливковое масло', 'Бальзамический уксус', 'Французский багет', 'Сыр фета', 'Базилик', 'Чеснок', 'Перец черный молотый']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/161012201757/161025012009/p_O.jpg'],"['Калорийность 679 ккал', 'Белки 38,5 грамм', 'Жиры 27,5 грамм', 'Углеводы 69,2 грамм']","['1. Отварить креветки.', '2. Смешать их с разрезанными на половинки помидорами, измельченным чесноком и базиликом.', '3. Добавить 2 ст. л. масла и уксус.', '4. Поперчить. Сбрызнуть нарезанный хлеб оставшимся маслом и поджарить его на сковороде гриль.', '5. Выложить начинку. Посыпать фетой.']",https://eda.ru/recepty/sendvichi/brusketta-s-krevetkami-i-fetoy-81042
b1fd3622-ce88-11ea-bdb6-0242ac1c0002,Сэндвич с семгой и рукколой,"['Маленький французский багет', 'Рукола', 'Слабосоленая семга', 'Маринованные огурцы', 'Чеснок', 'Укроп', 'Эстрагон', 'Петрушка', 'Каперсы', 'Зернистая горчица', 'Яичный желток', 'Оливковое масло', 'Лимонный сок', 'Соль', 'Перец черный молотый']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131111838/160329185147/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131111936/160329185147/p_O.jpg']","['Калорийность 2289 ккал', 'Белки 48,2 грамм', 'Жиры 181 грамм', 'Углеводы 125 грамм']","['1. Нарезать петрушку, укроп. Порубить тархун. Мелко порубить корнишоны. Порубить каперсы. Мелко нарезать чеснок.', '2. Яичный желток растереть, смешать с солью, черным перцем, лимонным соком, затем постепенно, как при приготовлении домашнего майонеза, по капельке добавить оливковое масло до образования эмульсии.', '3. Подготовленные овощи и травы смешать с горчицей и полученным соусом.', '4. Багет разрезать вдоль пополам, не прорезая до конца. Багет раскрыть и смазать частью соуса.', '5. Слабосоленую семгу нарезать тонкими слайсами.', '6. Выложить в «корешок» багета часть рукколы. На рукколу — слайсы семги. Выложить оставшуюся рукколу.', '7. На тарелку  поставить соус. Выложить сбоку сэндвич.']",https://eda.ru/recepty/sendvichi/sendvich-s-semgoy-i-rukkoloy-68594
b20cad96-ce88-11ea-99f8-0242ac1c0002,Буррито с говяжьим фаршем,"['Говяжий фарш', 'Сладкий красный лук', 'Консервированная кукуруза', 'Молотый сушеный чеснок', 'Соус барбекю', 'Белая консервированная фасоль', 'Тортильи', 'Сыр чеддер', 'Сметана', 'Оливковое масло', 'Красный сладкий перец']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131083347/130401145251/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/160812092111/160822050202/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/121022175326/190319095312/p_O.jpg']","['Калорийность 476 ккал', 'Белки 22 грамм', 'Жиры 27 грамм', 'Углеводы 35,7 грамм']","['1. В большой кастрюле на оливковом масле поджарить лук и фарш.', '2. Как только фарш поджарится, добавить мелко порезанный сладкий перец, консервированную кукурузу и фасоль.', '3. Посолить, поперчить, полить соусом барбекю и добавить сушеный чеснок и тертый сыр чеддер.', '4. Лепешки тоже посыпать сыром чеддер, выложить сверху фарш и завернуть.', '5. Буррито поджарить на сковороде гриль и подать с гуакамоле, сальсой и сметаной.']",https://eda.ru/recepty/sendvichi/burrito-s-govjazhim-farshem-36767
b2b9c3b4-ce88-11ea-a62c-0242ac1c0002,Французские тосты с яблоками и карамелизованными грецкими орехами,"['Зеленые яблоки', 'Коричневый сахар', 'Пшеничная мука', 'Молотая корица', 'Вода', 'Яйцо куриное', 'Молоко', 'Ваниль', 'Хлеб для тостов', 'Сливочное масло', 'Карамелизованные грецкие орехи']",[],"['Калорийность 328 ккал', 'Белки 9,1 грамм', 'Жиры 14,3 грамм', 'Углеводы 39,3 грамм']","['1. Очистите яблоки от кожицы и сердцевины и порежьте тонкими ломтиками.', '2. В сковороде растопите 2 столовые ложки сливочного масла и добавьте яблоки, сахар, муку, корицу и воду. Готовьте, пока яблоки не станут мягкими, примерно 10-15 минут. Снимите с огня.', '3. В миске смешайте яйца, молоко и ваниль.', '4. Обмакните куски хлеба в молочно-яичную смесь, дав немного пропитаться.', '5. Растопите небольшое количество сливочного масла в сковороде на среднем огне и обжарьте куски хлеба по 3–4 минуты с каждой стороны до румяной корочки.', '6. Выложите тосты на тарелки, сверху разложите яблоки и посыпьте карамелизованными орехами.']",https://eda.ru/recepty/sendvichi/francuzskie-tosti-s-jablokami-karamelizovannimi-greckimi-orehami-25863
b2dd028e-ce88-11ea-8161-0242ac1c0002,Сэндвичи с тунцом и сыром,"['Консервированный тунец в собственном соку', 'Хлеб для тостов', 'Сыр эмменталь', 'Розовый перец', 'Каперсы', 'Сливочное масло', 'Огурцы']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131083619/150615155025/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/131207233339/131213101317/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/130104145234/130514001140/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/130116161736/130514001141/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/110809195434/140512121712/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140512112357/140512112357/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/110801145243/140512112417/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/110801145258/140512112432/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131085935/160526154849/p_O.jpg']","['Калорийность 436 ккал', 'Белки 26,8 грамм', 'Жиры 21,8 грамм', 'Углеводы 31,9 грамм']","['1. Тунца вместе с соком выложить в миску и размять руками. Посыпать розовым маврикийским перцем (он такой же ароматный, как черный, но менее жгучий), добавить каперсы и перемешать. Выложить тертый эмменталь (или другой сыр по вкусу — эдам, например, или гауду) и снова перемешать.', '2. Разогреть сковороду на среднем огне и слегка подсушить хлеб с обеих сторон. Затем слегка промазать все куски с одной стороны сливочным маслом, выложить тунцово-сырную смесь, соединить половины сэндвичей — и снова отправить на сковородку. Там они должны провести пару минут под крышкой — идея в том, чтобы сыр расплавился и схватил рыбную массу.', '3. Готовые сэндвичи разрезать по диагонали и украсить кружками огурца.']",https://eda.ru/recepty/sendvichi/sjendvichi-s-tuncom-sirom-29868
b2f5f118-ce88-11ea-bdb6-0242ac1c0002,"Сэндвичи со свежим мясным хлебом, рукколой, майонезным соусом и цельнозерновым хлебом","['Майонез', 'Кетчуп', 'Цельнозерновой хлеб', 'Мясной хлеб', 'Рукола']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131084941/120213185451/p_O.jpg'],[],"['1. Для соуса в небольшой миске смешайте майонез и кетчуп.', '2. Намажьте соусом куски хлеба с одной стороны. Положите по 2 куска мясного хлеба на 2 намазанных хлеба и сверху листья рукколы. Накройте оставшимся хлебом, стороной с соусом вниз. Разрежьте пополам и заверните в фольгу. Оставьте на некоторое время.']",https://eda.ru/recepty/sendvichi/sjendvichi-so-svezhim-mjasnim-hlebom-rukkoloj-majoneznim-sousom-celnozernovim-hlebom-21595
b2f857c8-ce88-11ea-99f8-0242ac1c0002,Крабсбургеры,"['Говядина', 'Помидоры', 'Пикули', 'Оливки без косточек', 'Сыр грюйер', 'Кетчуп', 'Майонез', 'Соль', 'Перец черный молотый', 'Булочка']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/110810174633/120213184514/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/160312155529/160319153558/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131084342/140409193610/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213180745/150328195952/p_O.jpg']","['Калорийность 1145 ккал', 'Белки 54,4 грамм', 'Жиры 59,9 грамм', 'Углеводы 88 грамм']","['1. Говядину превратить в фарш и сделать бифштексы. Обжарить до черной корочки.', '2. Булочки разрезать и на нижний слой уложить ингредиенты в таком порядке снизу вверх: Помидоры, нарезанные ломтями, бифштексы, пикули, нарезанные кружочками, и оливки, приплюснутые ножом. Сыр (лучше 2 куска), майонез, смешанный с кетчупом, закрыть верхней частью булочки.', '3. Положить в огнеупорную посуду и придавить грузом. Готовить, пока сыр не начнет плавиться.']",https://eda.ru/recepty/sendvichi/krabsburgeri-20911
b34a4d08-ce88-11ea-a62c-0242ac1c0002,Гренки с чесноком и солью,"['Хлеб для тостов', 'Чеснок', 'Сливочное масло']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140914020053/140921231624/p_O.jpg'],"['Калорийность 185 ккал', 'Белки 2,5 грамм', 'Жиры 11,5 грамм', 'Углеводы 17 грамм']","['1. Хлеб для сэндвичей разрезать пополам (так же можно взять батон). Сковороду разогреть до средней температы и выложить на нее кусочки хлеба. Масло добавлять небольшими кусочками, чтобы было не жирно. Хлеб должен подрумяниться с двух сторон.', '2. Обжаренный хлеб натереть чесноком и посолить. По желанию можно добавить свреху тертый сыр.']",https://eda.ru/recepty/sendvichi/grenki-s-chesnokom-i-solju-46573
