id,name,list_ingrid,image_url,list_bzu,list_resipe,recept_link
59c3edd8-ce89-11ea-8cc1-0242ac1c0002,Заправка Итальянская,"['Оливковое масло', 'Красный винный уксус', 'Базилик', 'Орегано', 'Майоран', 'Сахар', 'Сухая горчица', 'Красный перец чили', 'Чеснок', 'Крупная соль', 'Перец черный молотый']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120424122748/120424123519/p_O.jpg'],"['Калорийность 106 ккал', 'Белки 0,5 грамм', 'Жиры 10,5 грамм', 'Углеводы 2,5 грамм']","['1. Чеснок раздавить прессом для чеснока, смешать в миске с сахаром и горчицей, добавить по 1,5 ч. л. соли и перца, хлопья чили и уксус.', '2. В эту смесь медленно, равномерной струей вливать масло, постоянно размешивая, до получения однородной эмульсии.', '3.  Смешать с рублеными пряными травами, приправить солью и перцем по вкусу.', '4. Можно хранить в холодильнике в плотно закрытом контейнере не дольше 1 недели.']",https://eda.ru/recepty/sousy-marinady/zapravka-italjanskaja-31451
59c5e71e-ce89-11ea-820a-0242ac1c0002,Соус барбекю по‑японски,"['Соус из желтой фасоли', 'Сахар', 'Чеснок', 'Кунжутное масло', 'Соус хойсин', 'Молотый белый перец', 'Соевый соус', 'Легкий соевый соус']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213183151/120213183256/p_O.jpg'],[],['1. Измельчите чеснок и смешайте с остальными ингредиентами. Закройте пленкой и поставьте в холодильник.'],https://eda.ru/recepty/sousy-marinady/sous-barbekju-po-japonski-20127
59cca3c4-ce89-11ea-85db-0242ac1c0002,Песто из брокколи,"['Капуста брокколи', 'Листья базилика', 'Лимон', 'Грецкие орехи', 'Чеснок', 'Оливковое масло', 'Вода', 'Морская соль', 'Свежемолотый черный перец']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120214154946/120214155539/p_O.jpg'],"['Калорийность 645 ккал', 'Белки 21,4 грамм', 'Жиры 53,4 грамм', 'Углеводы 32,6 грамм']","['1. Нарежьте брокколи, выжмите сок из половинки лимона. Положите все ингредиенты в стакан блендера и хорошо измельчите.', '2. Попробуйте и добавьте по вкусу еще соли или перца. Если получилось суховато, подлейте оливкового масла или 1–2 столовые ложки воды. Также вы можете добавить в песто тертый сыр.']",https://eda.ru/recepty/sousy-marinady/pesto-iz-brokkoli-30138
59daf064-ce89-11ea-b6af-0242ac1c0002,Томатно-чесночный соус,"['Помидоры', 'Чеснок', 'Молотый красный перец', 'Хмели-сунели', 'Молотый кориандр']",[],"['Калорийность 88 ккал', 'Белки 2,7 грамм', 'Жиры 2,5 грамм', 'Углеводы 14,4 грамм']","['1. Помидоры нарезать на четвертинки, сложить в эмалированную посуду, оставить на сутки. Слить появившийся сок, использовав его в супы.', '2. Мякоть прокипятить на слабом огне и протереть в пюре, отбросив кожицу и семена. Варить пюре на медленном огне, постоянно помешивая, пока помидоры не станут ярко-красными и не получится однородная густая паста.', '3. Добавить мелко рубленый чеснок. Заправить пряностями, посолить и кипятить еще 3-4 минуты.']",https://eda.ru/recepty/sousy-marinady/tomatno-chesnochnij-sous-25457
5a7b85a6-ce89-11ea-85db-0242ac1c0002,Песто,"['Листья зеленого базилика', 'Кедровые орехи', 'Сыр пармезан', 'Оливковое масло']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131112336/120514141225/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213175433/120514141229/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213174921/120514141226/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213175022/120514141227/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120213175134/120514141228/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213175233/120514141229/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120213175333/120514141229/p_O.jpg']","['Калорийность 250 ккал', 'Белки 9,2 грамм', 'Жиры 21,5 грамм', 'Углеводы 4,7 грамм']","['1. Базилик очистить от стеблей и промыть холодной водой.', '2. Пармезан измельчить с кедровыми орешками в блендере и постепенно добавлять оливковое масло.', '3. Туда же добавить базилик. Все тщательно измельчить.', '4. Паста сначала получится жидкой, поэтому ее нужно поставить в холодильник на несколько часов.']",https://eda.ru/recepty/sousy-marinady/pesto-31540
5aa06f24-ce89-11ea-8cc1-0242ac1c0002,Помидоры маринованные за 30 минут,"['Соль', 'Сахар', 'Помидоры', 'Оливковое масло', 'Чеснок', 'Яблочный уксус', 'Зелень', 'Перец черный молотый']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/140111190442/140118001124/p_O.jpg'],"['Калорийность 175 ккал', 'Белки 1,5 грамм', 'Жиры 15,3 грамм', 'Углеводы 8,3 грамм']","['1. Нарежьте помидоры кольцами.', '2. Отдельно в чашке перемешайте все ингредиенты для маринада и промажьте им каждый кружочек.', '3. Затем сложите помидоры пирамидкой, накройте и отправьте в холодильник.']",https://eda.ru/recepty/sousy-marinady/pomidori-marinovannie-za-30-minut-41784
5aa283d6-ce89-11ea-820a-0242ac1c0002,Луковое масло,"['Арахисовое масло', 'Лук репчатый']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213183611/120213185033/p_O.jpg'],"['Калорийность 770 ккал', 'Белки 1,6 грамм', 'Жиры 80,4 грамм', 'Углеводы 11,7 грамм']","['1. Разогрейте вок на сильном огне примерно 30 секунд. Добавьте масло и тонко нарезанный лук. Готовьте примерно 7 минут, пока лук не станет золотистым, постоянно помешивая. Уменьшите огонь до среднего и готовьте, помешивая, еще 15 минут, пока лук не станет светло-коричневым.', '2. Снимите с огня и процедите через сито в миску, отжимая лук, чтобы извлечь остатки масла. Оставьте масло остывать при комнатной температуре. Затем перелейте в бутылку и закройте крышкой.']",https://eda.ru/recepty/sousy-marinady/lukovoe-maslo-21360
5aa33858-ce89-11ea-b6af-0242ac1c0002,Классический голландский соус,"['Яичный желток', 'Лимонный сок', 'Белый винный уксус', 'Сливочное масло', 'Соль', 'Свежемолотый черный перец']",[],"['Калорийность 233 ккал', 'Белки 1,4 грамм', 'Жиры 25 грамм', 'Углеводы 0,5 грамм']","['1. Желтки переложите в небольшую миску, посолите и поперчите, хорошо взбейте в комбайне 1 минуту. Затем в небольшой кастрюльке доведите до кипения лимонный сок и уксус. Снова включите комбайн и тонкой струйкой, аккуратно, влейте сок с уксусом.', '2. В этой же кастрюльке растопите сливочное масло, слегка нагрейте, но не до изменения цвета. Когда масло начнет пениться, снова включите комбайн, очень тоненькой струйкой вливайте масло (чем медленнее, тем лучше).', '3. Когда все масло будет перелито, лопаткой соберите соус со стенок чаши и снова взбейте на максимальной скорости до однородной, гладкой массы.']",https://eda.ru/recepty/sousy-marinady/klassicheskiy-gollandskiy-sous-53640
5b460b96-ce89-11ea-85db-0242ac1c0002,Соус барбекю,"['Томатная паста', 'Вустерширский соус', 'Сахар мусковадо', 'Томатный соус', 'Дижонская горчица', 'Лимон', 'Томатное пюре', 'Пиментон']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120505175012/120514192713/p_O.jpg'],"['Калорийность 242 ккал', 'Белки 7,8 грамм', 'Жиры 3,5 грамм', 'Углеводы 49,4 грамм']","['1. Положите все ингредиенты в сковороду, из лимона выжмите сок и тоже добавьте в сковороду. Доведите до кипения, перемешайте и варите 25 минут. Посолите и охладите.']",https://eda.ru/recepty/sousy-marinady/sous-barbekju-19961
5b562fee-ce89-11ea-820a-0242ac1c0002,Классический английский мятный соус к баранине,"['Тростниковый сахар', 'Листья мяты', 'Белый винный уксус']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213185949/120213190505/p_O.jpg'],"['Калорийность 40 ккал', 'Белки 1,3 грамм', 'Жиры 0,1 грамм', 'Углеводы 9 грамм']","['1. В миске смешайте сахар и 1 столовую ложку кипящей воды. Перемешивайте, пока сахар не растворится. Затем добавьте очень мелко нарезанную мяту и уксус. Хорошо перемешайте.']",https://eda.ru/recepty/sousy-marinady/klassicheskij-anglijskij-mjatnij-sous-k-baranine-22268
