id,name,list_ingrid,image_url,list_bzu,list_resipe,recept_link
04616f8c-c5bf-11ea-b687-0242ac1c0002,Абрикосово-манговый смузи,"['Абрикосы', 'Манго', 'Свежевыжатый апельсиновый сок', 'Лайм']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140601161438/140608184456/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/140601161438/140608193039/p_O.jpg']","['Калорийность 130 ккал', 'Белки 2,3 грамм', 'Жиры 0,6 грамм', 'Углеводы 27,8 грамм']","['1. Выжмите сок из апельсинов и лайма или возьмите готовый апельсиновый сок без сахара с мякотью. Если вы любите покислее, возьмите 1,5 или 2 лайма.', '2. Очистите манго и удалите косточку, нарежьте средними кусками.', '3. У абрикосов удалите косточку, разделите на половинки.', '4. Все ингредиенты поместите в блендер и пробейте на максимальной скорости около 5 минут.', '5. Проверьте консистенцию — если смузи слишком густой, разбавьте апельсиновым соком или водой и пробейте еще раз.', '6. Подавайте, украсив веточкой тархуна.']",https://eda.ru/recepty/napitki/abrikosovo-mangovij-smuzi-44761
048618b4-c5bf-11ea-bcae-0242ac1c0002,Осенний фруктово-ягодный смузи,"['Бананы', 'Яблоко', 'Вода', 'Черноплодная рябина']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/131014225425/131026230522/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/151212225533/151221174804/p_O.jpg']","['Калорийность 290 ккал', 'Белки 4,3 грамм', 'Жиры 1,1 грамм', 'Углеводы 66,7 грамм']","['1. Бананы почистить и поломать на кусочки.', '2. Яблоко не чистить, удалить сердцевину и нарезать на небольшие кусочки.', '3. Добавить горсть ягод черноплодной рябины и четверть стакана воды.', '4. Смолоть в блендере все ингредиенты.']",https://eda.ru/recepty/napitki/osennij-fruktovo-jagodnij-smuzi-40329
0495f892-c5bf-11ea-a1dd-0242ac1c0002,Имбирный напиток,"['Лимон', 'Свежий имбирь', 'Мед', 'Анис (бадьян)', 'Кипяток']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131083110/120214154134/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/160729115308/200714065952/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131083136/120214154134/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131083215/120214154134/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/130523140247/130608143819/p_O.jpg']","['Калорийность 379 ккал', 'Белки 8,4 грамм', 'Жиры 3,3 грамм', 'Углеводы 77,4 грамм']","['1. Нарезать из свежего имбирного корня 10 тоненьких долек. Положить в большой стакан, добавить 1 дольку свежего лимона. Так же можно добавить, анис или корицу по вкусу. Залить кипятком и накрыть, подождать примерно 10–15 минут.', '2. После этого добавить мед по вкусу (сразу мед лучше не добавлять, т.к. он теряет все полезные свойства при температуре выше 60 градусов). Можно использовать кружку с крышкой или термос.']",https://eda.ru/recepty/napitki/imbirnij-napitok-29230
04b3b5a8-c5bf-11ea-b78f-0242ac1c0002,апельсиновая вода с медом,"['Апельсины', 'Лимонная цедра', 'Мед', 'Вода']",[],"['Калорийность 97 ккал', 'Белки 1,5 грамм', 'Жиры 0,3 грамм', 'Углеводы 23,4 грамм']","['1. Мелко порезать мытые апельсины, залить водой.  Довести до кипения, остудить добавить цедру, мед', '2. Настоять пару часов. Подавать можно как альтернативу лимону и сахару для чая.']",https://eda.ru/recepty/napitki/apelsinovaja-voda-s-medom-49453
04de09b6-c5bf-11ea-b687-0242ac1c0002,Горячий коктейль с малиной и шиповником,"['Малина', 'Зеленые яблоки', 'Яблочный сок', 'Корица', 'Вода', 'Отвар шиповника']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/150506002001/150512141556/p_O.jpg'],"['Калорийность 109 ккал', 'Белки 0,6 грамм', 'Жиры 0,4 грамм', 'Углеводы 25,6 грамм']","['1. Смешиваем в сотейнике ягоды малины, ломтики зеленого яблока, яблочный сок и корицу, заливаем горячей водой.', '2. Доводим до кипения.', '3. Все заливаем крепким отваром шиповника. Добавляем сахар по вкусу.']",https://eda.ru/recepty/napitki/gorjachij-koktejl-s-malinoj-i-shipovnikom-50586
04fb6cf4-c5bf-11ea-bcae-0242ac1c0002,Облепиховый морс,"['Облепиха', 'Вода', 'Сахар']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/150920201609/151001115124/p_O.jpg'],"['Калорийность 262 ккал', 'Белки 1,4 грамм', 'Жиры 6,3 грамм', 'Углеводы 48,2 грамм']","['1. Первым делом необходимо перебрать ягоды и промыть их, затем выложить их в сито и дать высохнуть.', '2. После того как ягоды высохли необходимо отжать из них сок. Лучше всего сразу положить марлю в емкость в которой будете давить ягоды, это позволит быстро отделить жмых, ну и дожать остатки сока.', '3. Теперь необходимо поставить воду и как только она закипит добавить в нее жмых и варить 10 мин. В конце варки добавить сахар и постоянно помешивать до полного его растворения. Сахар лучше всего добавлять постепенно, возможно кому-то понравится более кислый вкус, да и вообще его можно заменить медом, но это так же зависит от личных предпочтений.', '4. Снять морс с плиты и влить в него сок облепихи. Как показала практика, этот морс идеально пить как горячим, так и холодным.']",https://eda.ru/recepty/napitki/oblepihovij-mors-52784
0524036c-c5bf-11ea-a1dd-0242ac1c0002,Напиток ягодный,"['Свежая клюква', 'Сахар', 'Вода']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131082601/120213182742/p_O.jpg'],"['Калорийность 103 ккал', 'Белки 0,2 грамм', 'Жиры 0 грамм', 'Углеводы 26 грамм']","['1. Выжимки залить горячей водой, проварить при слабом кипении 5—8 мин и дать настояться в течение 25—30 мин.', '2. Отвар процедить, отжать, добавить в отвар сахар и размешать его до полного растворения.', '3. Затем влить сок, еще раз процедить и охладить.', '4. Свежие ягоды промыть и отжать сок.']",https://eda.ru/recepty/napitki/napitok-jagodnij-19700
05400ed6-c5bf-11ea-b78f-0242ac1c0002,Пряный грог,"['Ром', 'Вода', 'Черный чай', 'Сахар', 'Лимонный сок', 'Лимонная цедра', 'Гвоздика', 'Черный перец горошком', 'Молотый мускатный орех']",[],"['Калорийность 265 ккал', 'Белки 0,6 грамм', 'Жиры 0,4 грамм', 'Углеводы 9,8 грамм']","['1. Специи, цедру двух лимонов и сахар поместить в кастрюльку и залить 600 мл воды. Помешивая, чтобы сахар растворился, довести до кипения. Снять с огня и всыпать чай, накрыть крышкой и настаивать 2 мин.', '2. Тем временем выжать из двух лимонов сок. Ошпарить кипятком стаканы в которые будете наливать грог.', '3. Настой процедить через сито, добавить ром и лимонный сок. Разлить по стаканам.']",https://eda.ru/recepty/napitki/pryanyy-grog-93422
0569cbea-c5bf-11ea-b687-0242ac1c0002,Фруктовый смузи с зеленым чаем,"['Персики', 'Зеленый виноград без косточек', 'Дыня', 'Мед', 'Свежесваренный зеленый чай', 'Лимонный сок']",[],"['Калорийность 262 ккал', 'Белки 4,2 грамм', 'Жиры 1,9 грамм', 'Углеводы 60,6 грамм']","['1. Нарежьте персики и очищенную дыню небольшими кусочками и вместе с виноградом заморозьте.', '2. В блендере смешайте замороженные фрукты, слегка остывший чай, мед и лимонный сок. Взбейте до однородного состояния и сразу подавайте.']",https://eda.ru/recepty/napitki/fruktovij-smuzi-s-zelenim-chaem-28543
05a1e606-c5bf-11ea-bcae-0242ac1c0002,Мексиканский коктейль,"['Текила', 'Бренди', 'Гренадин', 'Лимонный сок', 'Лимонная цедра']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120213181523/120213181922/p_O.jpg'],"['Калорийность 123 ккал', 'Белки 0,6 грамм', 'Жиры 0,1 грамм', 'Углеводы 12,5 грамм']","['1. Текилу, бренди, лимонный сок и гренадин вместе со льдом встряхните в шейкере.', '2. Процедите в бокал', '3. На поверхность выжмите несколько капель из кусочка лимонной цедры и опустите его в бокал.']",https://eda.ru/recepty/napitki/meksikanskij-koktejl-19086
