id,name,list_ingrid,image_url,list_bzu,list_resipe,recept_link
07b73288-c5c5-11ea-bf80-0242ac1c0002,Равиоли с креветками и фуа-грой под креветочным соусом,"['Оливковое масло', 'Соль', 'Перец черный молотый', 'Тигровые креветки', 'Фуа-гра', 'Лимон', 'Очищенные креветки', 'Морковь', 'Лук', 'Вода', 'Сливки 10%-ные', 'Коньяк', 'Томатная паста', 'Растительное масло', 'Пшеничная мука', 'Яичный желток']",[],"['Калорийность 1262 ккал', 'Белки 53,2 грамм', 'Жиры 57,5 грамм', 'Углеводы 127,4 грамм']","['1. Замешиваем тесто из муки, желтка, оливкового масла и воды.', '2. Для соуса берем морковь, лук крупным; одним куском пассеруем на растительном масле, добавляем панцири от креветок, томатную пасту, все вместе обжариваем и заливаем водой. Варим 15 минут. Процеживаем через сито. Ставим на плиту, добавляем мясо креветок, солим. Полученный отвар взбиваем блендером. Снова ставим на плиту, добавляем специи, коньяк и доводим до кипения.', '3. Для начинки тигровые креветки чистим, потом режем с фуа-грой мелко. Солим, перчим, сбрызгиваем соком выдавленного лимона.', '4. Из теста формируем квадратные равиоли с начинкой и отвариваем.', '5. Выкладываем в центр тарелки и вокруг равиоли поливаем соусом.']",https://eda.ru/recepty/pasta-picca/ravioli-s-krevetkami-i-fua-groj-pod-krevetochnim-sousom-37666
07c8ca02-c5c5-11ea-9e43-0242ac1c0002,Сливочная паста с брокколи,"['Капуста брокколи', 'Мелко рубленный чеснок', 'Оливковое масло', 'Сливочное масло', 'Соль', 'Перец черный молотый', 'Кайенский перец', 'Паста лингвини', 'Тертый сыр пармезан']",[],"['Калорийность 312 ккал', 'Белки 9,7 грамм', 'Жиры 15,5 грамм', 'Углеводы 36,2 грамм']","['1. Сначала нарежьте на мелкие кусочки стебли и головки брокколи, затем поместите их в большую сковороду с добавлением чеснока, оливкового масла, соли, перца; растопите масло и жарьте брокколи на среднем огне, часто помешивая, около 10 минут или пока соцветия не станут нежными.', '2. Параллельно приготовьте пасту в кастрюле согласно инструкции на упаковке; слейте воду.', '3. Когда паста будет готова, переложите её на сервировочное блюдо, не давая ей остыть, и  покройте слоем из  смеси с брокколи.', '4. При подаче посыпьте пасту сыром.']",https://eda.ru/recepty/pasta-picca/slivochnaja-pasta-s-brokkoli-56497
07e0139c-c5c5-11ea-a877-0242ac1c0002,Паста путанеска,"['Соль', 'Перец черный молотый', 'Оливковое масло', 'Мелко рубленный чеснок', 'Филе анчоуса', 'Помидоры', 'Оливки без косточек', 'Каперсы', 'Красный перец хлопьями', 'Паста лингвини', 'Листья базилика']",[],"['Калорийность 657 ккал', 'Белки 24,8 грамм', 'Жиры 22,7 грамм', 'Углеводы 87,5 грамм']","['1. В кастрюле вскипятите подсоленную воду.', '2. В небольшой сковороде согрейте 2 столовые ложки масла на среднем огне, добавьте чеснок, филе анчоуса. Готовьте до тех пор, пока чеснок не станет золотистым.', '3. Слейте воду с помидоров и разомните вилкой. Выложите на сковороду, добавьте соль, перец и разогрейте на среднем огне. Увеличьте огонь и готовьте 10 минут, иногда помешивая, пока томаты не развалятся и смесь не станет соусообразной. Добавьте оливки, каперсы, хлопья красного перца и оставьте кипеть.', '4. Отварите макароны в кипящей воде, слейте воду, смешайте с соусом и оставшейся ложкой масла. Добавьте соль, перец по вкусу, по желанию украсьте травами и подавайте на стол.']",https://eda.ru/recepty/pasta-picca/pasta-putaneska-54842
07eaf820-c5c5-11ea-93d8-0242ac1c0002,Спагетти с креветками в сливочно-коньячном соусе,"['Спагетти', 'Креветки', 'Коньяк', 'Сливки 20%-ные', 'Оливковое масло', 'Соль', 'Перец черный молотый', 'Лимонный сок']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/131031145327/131107232137/p_O.jpg'],"['Калорийность 643 ккал', 'Белки 44,6 грамм', 'Жиры 23,1 грамм', 'Углеводы 48,5 грамм']","['1. Отварить креветки в кипящей подсоленной воде, очистить и замариновать минут на 15 в лимонном соке и перце (лучше использовать не просто молотый, а мельницу, т.к. блюдо получается гораздо вкуснее и ароматнее).', '2. Обжарить креветки в небольшом количестве оливкового масла. Добавить к ним порцию коньяка так, чтобы креветки в нем плавали, и поджечь коньяк.', '3. Когда весь коньяк прогорит, налить в сковородку сливки и тушить креветки на слабом огне.', '4. В кастрюлю с кипящей подсоленной водой добавить ложку оливкового масла и спагетти, варить до состояния al dente (приблизительно 10 минут).', '5. Слить воду из макарон через дуршлаг.', '6. Выложить спагетти в сковороду к креветкам, тщательно перемешать.', '7. Подавать блюдо горячим с лимоном и базиликом.']",https://eda.ru/recepty/pasta-picca/spagetti-s-krevetkami-v-slivochno-konjachnom-souse-40519
084f9320-c5c5-11ea-bf80-0242ac1c0002,Фузилли с соусом из сыра и грецких орехов,"['Паста фузилли', 'Сливки 20%-ные', 'Голубой сыр', 'Толченые грецкие орехи']",[],"['Калорийность 754 ккал', 'Белки 25,3 грамм', 'Жиры 38,3 грамм', 'Углеводы 77,6 грамм']","['1. Отварите фузилли как указано на упаковке (обычно, около 10 минут).', '2. Налейте сливки в ковшик или небольшую кастрюльку.', '3. Сыр измельчите кубиками и добавьте к сливкам.', '4. Поставьте ковшик со сливками и сыром на средний огонь и периодически помешивайте, чтобы сыр растворился. Следите, чтобы соус не кипел.', '5. Грецкие орехи измельчите и добавьте в соус, когда расплавится сыр.', '6. Готовые фузилли полейте соусом и перемешайте. Подавайте сразу.']",https://eda.ru/recepty/pasta-picca/fuzilli-s-sousom-iz-sira-i-greckih-orehov-35206
08741ccc-c5c5-11ea-9e43-0242ac1c0002,"Запеченная паста с цветной капустой, сыром и шпинатом","['Молоко', 'Пшеничная мука', 'Сливочное масло', 'Дижонская горчица', 'Сыр с плесенью', 'Молотый мускатный орех', 'Паста пенне', 'Цветная капуста', 'Замороженный шпинат', 'Обжаренные кедровые орехи', 'Чеснок', 'Оливковое масло', 'Томатная паста', 'Сыр']",[],"['Калорийность 701 ккал', 'Белки 30,4 грамм', 'Жиры 32,8 грамм', 'Углеводы 82,9 грамм']","['1. Для томатного соуса обжарьте нарезанный чеснок в масле в течение 1 мин, затем добавьте томатную пасту. Приправьте, наполовину прикройте кастрюлю и готовьте на медленном огне 20 минут.', '2. Тем временем сделайте сырный соус. Смешайте в кастрюле молоко, муку и 50 г сливочного масла. Подогрейте и размешайте все до однородной массы, затем варите в течение 3 минут, помешивая, чтобы не было комочков. Оставьте остыть в течение 5 минут, затем добавьте горчицу, большую часть сыра, половину  сыра с плесенью и половину мускатного ореха.', '3. Отварите пенне и цветную капусту в течение 8 минут в подсоленной воде.  Оставьте 2 ст. л. воды из кастрюли, после чего процедите. Растопите 1 ст. л. сливочного масла в сковороде, добавьте целый зубчик чеснока, шпинат, оставшийся мускатный орех, соль и черный перец. Размешайте в течение 2 минут, затем удалите зубчик чеснока.', '4. Отложите 300 мл сырного соуса в сторону, оставшийся добавьте в цветную капусту и макароны. Разделите половину томатного соуса на 6 тарелок, добавьте часть шпината. Добавьте цветную капусту, сверху положите шпинат, затем остальную часть томатного соуса. Сверху полейте сырным соусом и посыпьте кедровыми орешками.', '5. Накройте пищевой пленкой, остудите и охладите в холодильнике в течение до 2-х дней или заморозьте на срок до 1 месяца.', '6. Чтобы приготовить, разморозьте. Нагрейте духовку до 200 С. Запекайте на противне в течение 18-20 минут до золотистого цвета. Хорошо подавать с зеленым салатом или хлебом с чесноком.']",https://eda.ru/recepty/pasta-picca/zapechennaya-pasta-s-cvetnoy-kapustoy-syrom-i-shpinatom-57295
08886f38-c5c5-11ea-a877-0242ac1c0002,Паста с соусом зеленый путанеска,"['Соль', 'Перец черный молотый', 'Оливковое масло', 'Спагетти', 'Филе анчоуса', 'Каперсы', 'Оливки без косточек', 'Мелко рубленный чеснок', 'Зеленый лук', 'Молодой шпинат', 'Листья базилика', 'Красный перец хлопьями']",[],"['Калорийность 1394 ккал', 'Белки 116,5 грамм', 'Жиры 62,4 грамм', 'Углеводы 92,1 грамм']","['1. В большой кастрюле вскипятите на сильном огне подсоленную воду. Добавьте макароны и варите до состояния аль денте 5-8 минут. Слейте не всю воду, 1 стакан оставьте для дальнейшего использования.', '2. Пока готовятся макароны, в большой сковороде на сильном огне разогрейте ¼ стакана оливкового масла. Выложите анчоусы, каперсы и готовьте 3 минуты, иногда помешивая, пока каперсы не станут коричневыми.', '3. Добавьте оставшуюся ¼ стакана масла, оливки, чеснок, зеленый лук и хлопья красного перца и продолжайте готовить 3-5 минут, пока чеснок не станет золотистым.', '4. Добавьте шпинат и тушите 1-2 минуты. Следом выложите макароны и перемешайте. Слейте воду от макарон, если паста получилась суховатой. Посолите по вкусу. Смешайте с листьями базилика.']",https://eda.ru/recepty/pasta-picca/pasta-s-sousom-zelenyy-putaneska-54843
08969658-c5c5-11ea-93d8-0242ac1c0002,"Пицца сборная c сельдью, копченой колбаской и грибами","['Помидоры', 'Дрожжевое тесто', 'Свежие грибы', 'Маслины', 'Сельдь', 'Копченая колбаса', 'Лимонный сок', 'Оливковое масло', 'Зелень', 'Сыр', 'Чеснок', 'Соль', 'Перец черный молотый']",['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120130134334/120214124238/p_O.jpg'],"['Калорийность 882 ккал', 'Белки 32,3 грамм', 'Жиры 66,6 грамм', 'Углеводы 37,8 грамм']","['1. Грибы очистить и мелко нарезать, добавить 1 столовую ложку масла и зубчик чеснока, посолить и варить 15 минут.', '2. Помидоры размять, если масса получилась недостаточно густой, то поварить ее немного на слабом огне.', '3. Тесто раскатать, уложить на смазанный маслом лист, сбрызнуть маслом и намазать слой теплого томатного пюре. Поверхность раскатанной лепешки разделить на 3 части. Одну часть покрыть грибами, вторую — ломтиками колбасы и маслинами, третью — кусочками филе сельди и маслинами.', '4. Сверху посыпать сыром и свежей зеленью, сбрызнуть маслом и поставить в нагретый духовой шкаф.']",https://eda.ru/recepty/pasta-picca/picca-sbornaja-c-seldju-kopchenoj-kolbaskoj-gribami-22973
08d26e80-c5c5-11ea-bf80-0242ac1c0002,Ригатони с камамбером,"['Сыр камамбер', 'Чеснок', 'Розмарин', 'Морская соль', 'Свежемолотый черный перец', 'Оливковое масло extra virgin', 'Сыр пармезан', 'Паста ригатони', 'Шпинат']",[],"['Калорийность 515 ккал', 'Белки 30,7 грамм', 'Жиры 22,8 грамм', 'Углеводы 45 грамм']","['1. Разогрейте духовку до 180 градусов. 250-граммовую коробочку камамбера откройте, разверните обертку и выньте ее. Сыр положите назад в коробку и надрежьте по кругу верхнюю корочку сыра, снимите получившуюся «крышечку» и выбросьте ее. Чеснок очистите и тонко нарежьте. С веточки розмарина оборвите листья. Выложите на сыр чеснок, посыпьте перцем, слегка полейте оливковым маслом, посыпьте розмарином и слегка «вотрите» приправы в сыр. Натрите пармезан.', '2. Коробку с сыром поставьте на противень и поставьте в духовку на 25 минут. Готовьте, пока сыр не растает и не образуется золотистая корочка.', '3. Тем временем в подсоленной воде отварите ригатони. Когда паста будет готова, добавьте в кастрюлю порезанный шпинат и поварите секунд 10. Затем откиньте пасту и шпинат на дуршлаг, верните назад в кастрюлю. Плесните в пасту немного оливкового масла extra virgin и всыпьте пармезан. Посолите, поперчите и перемешайте. Выньте из духовки камамбер.', '4. Разложите ригатони по тарелкам, полейте их растопленным камамбером. Оставшийся в коробочке сыр подайте отдельно.']",https://eda.ru/recepty/pasta-picca/rigatoni-s-kamamberom-25484
08fda4ba-c5c5-11ea-9e43-0242ac1c0002,Капеллини с кремовым соусом,"['Паста капеллини', 'Яичный желток', 'Сыр пармезан', 'Оливковое масло extra virgin', 'Свежемолотый черный перец', 'Соль']",[],"['Калорийность 181 ккал', 'Белки 6,3 грамм', 'Жиры 15,5 грамм', 'Углеводы 3,6 грамм']","['1. Отделить белки от желтков. Капеллини отварить согласно инструкции на упаковке (они правда варятся очень-очень быстро, поэтому пробуйте, переваренные вы есть не будете), воду хорошо посолить.', '2. Пасту откинуть на дуршлаг, вернуть в кастрюлю, добавить оливковое масло и свежемолотый черный перец (добавленный в горячую пасту он дает совершенно неповторимый аромат). Добавьте желтки и быстро «взбейте» вилкой.  Затем добавьте пармезан (или твердый козий или овечий сыр, очень хорошо здесь смотрятся) и подавайте, также присыпав пармезаном.']",https://eda.ru/recepty/pasta-picca/kapellini-s-kremovim-sousom-47946
