id,name,list_ingrid,image_url,list_bzu,list_resipe,recept_link
9187bd22-c5c8-11ea-9799-0242ac1c0002,Завтрак для ленивых,"['Яйцо куриное', 'Мягкий творог', 'Пшеничная мука', 'Сахар', 'Соль']","['//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/110805134417/130725150732/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131085121/120213190004/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/130314030255/130326004437/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131085053/120213190004/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120329181829/130809140227/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/151223165017/160101123120/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/160704095203/160716095452/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131085751/160125093736/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/110805165929/140424075632/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/160812092111/161019104912/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/151002075307/151007230749/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/140722210131/160213103429/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/150428090447/150505090333/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/160513220037/160522160303/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120304025019/161215120507/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131082242/170420074748/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131083741/170829122054/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/170224135654/191108023915/p_O.jpg', '//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/170307002247/200419131020/p_O.jpg']","['Калорийность 87 ккал', 'Белки 8,1 грамм', 'Жиры 2,3 грамм', 'Углеводы 8,3 грамм']","['1. В широкую миску выложить творог, добавить яйцо, сахар и муку и вилкой смешать до однородной консистенции. Если масса получилась слишком липкой, добавить еще муки, но не больше половины столовой ложки.', '2. Посыпать стол небольшим количеством муки и выложить творожную массу. Разделить на две равные части и из каждой скатать колбаски одинаковой толщины.', '3. Острым ножом нарезать колбаски на небольшие одинаковые кусочки. При желании можно слегка приплюснуть затем каждый кусочек и придать ему округлую форму.', '4. В небольшой кастрюле довести до кипения воду. Аккуратно один за другим опустить вареники в кипящую воду. Варить, слегка помешивая шумовкой, пока все вареники не всплывут на поверхность, плюс еще минуту.', '5. Готовые вареники выложить из кастрюли на тарелки и полить вареньем, например абрикосовым. Подавать их можно горячими или теплыми.']",https://eda.ru/recepty/zavtraki/zavtrak-dlja-lenivih-21975
91943ade-c5c8-11ea-9d84-0242ac1c0002,Кремовая банановая овсянка,"['Бананы', 'Миндальное молоко', 'Финик', 'Овсяные хлопья', 'Куркума', 'Ваниль', 'Корица']",[],"['Калорийность 431 ккал', 'Белки 9,5 грамм', 'Жиры 13 грамм', 'Углеводы 74,2 грамм']","['1. Банан (спелый) очистить и порезать на кусочки, заморозить на ночь или пару часов. Замочить хлопья в питьевой воде на ночь. Удалить косточки из фиников. Смешать все ингредиенты в блендере на высокой скорости до получения гладкой кремовой текстуры. Перелить смесь в чашу и украсить топингами по вкусу.']",https://eda.ru/recepty/zavtraki/kremovaya-bananovaya-ovsyanka-124922
91a7f18c-c5c8-11ea-8f4a-0242ac1c0002,Крокеты из риса и ветчины с пармезаном,"['Рис', 'Ветчина', 'Тертый сыр пармезан', 'Яйцо куриное', 'Толченые сухари', 'Перец черный молотый', 'Растительное масло']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213184513/120213184658/p_O.jpg'],"['Калорийность 1561 ккал', 'Белки 14,5 грамм', 'Жиры 151 грамм', 'Углеводы 36,7 грамм']","['1. Сварите рис в кипящей подсоленной воде до мягкости. Слейте и охладите.', '2. Выложите в миску и добавьте мелко нарезанную ветчину, сыр, 1 яйцо и перец. Хорошо перемешайте.', '3. В разный миски положите оставшееся слегка взбитое яйцо и сухари.', '4. Разогрейте растительное масло в сковороде на сильном огне.', '5. Тем временем, слепите из рисовой массы небольшие котлетки. Окуните в яйцо и затем обваляйте в сухарях. Выложите в масло, 2 порциями, и обжарьте до золотистой корочки примерно 2-3 минуты.']",https://eda.ru/recepty/zavtraki/kroketi-iz-risa-vetchini-s-parmezanom-21079
91bf0cfa-c5c8-11ea-9ee3-0242ac1c0002,Творожный салат с сыром и овощами,"['Творог', 'Свежий желтый перец', 'Огурцы', 'Тертый сыр', 'Зелень', 'Прованские травы']",[],"['Калорийность 382 ккал', 'Белки 37,6 грамм', 'Жиры 21,6 грамм', 'Углеводы 9,7 грамм']","['1. Огурцы и перец крупно порезать, зелень (укроп, кинза, базилик) измельчить,  смешать с крупно натертым сыром.', '2. Добавить творог и прованские травы.']",https://eda.ru/recepty/zavtraki/tvorozhnij-salat-s-sirom-ovoschami-26381
91fb4a8a-c5c8-11ea-9799-0242ac1c0002,Гречневый завтрак,"['Гречневая крупа', 'Рубленая петрушка', 'Рубленная кинза (кориандр)', 'Рубленный стебель сельдерея', 'Лимон', 'Оливковое масло', 'Соевый соус']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120131111458/120213190533/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/150317164033/150324073613/p_O.jpg']","['Калорийность 283 ккал', 'Белки 6,1 грамм', 'Жиры 11,4 грамм', 'Углеводы 41,6 грамм']","['1. Гречку промыть, залить 2 стаканами кипятка, посолить, накрыть крышкой и укрыть полотенцем. Через 45-60 минут, гречку можно будет есть, не потеряв никакой пищевой ценности. Это лучше сделать на ночь.', '2. Необходимое количество запаренной гречки в порционной тарелке заправить оливковым масло, соевым соусом, лимонным соком или порубленным лимоном и нашинкованной зеленью, перемешать.', '3. Подавать с нарезанными овощами, такими как болгарский перец, морковь, тыква, редис и зеленым коктейлем.']",https://eda.ru/recepty/zavtraki/grechnevij-zavtrak-22397
922609dc-c5c8-11ea-9d84-0242ac1c0002,Панкейки с бананом и шоколадом,"['Яйцо куриное', 'Молоко', 'Сахар', 'Соль', 'Пшеничная мука', 'Гашеная сода', 'Бананы', 'Шоколад']",[],"['Калорийность 188 ккал', 'Белки 6,5 грамм', 'Жиры 4,1 грамм', 'Углеводы 31,8 грамм']","['1. Взбить яйцо с сахаром, просеять муку, добавить молоко и соль.', '2. Погасить 1/2 чайной ложки соды и 2–3 каплями уксуса и добавить в смесь. Перемешать тесто.', '3. Нарезать банан и мелко шоколад.', '4. Выливать ложкой на разогретую сковороду небольшими порциями тесто. Сверху положить по паре кусочков банана и/или шоколада. Жарить до появления пузырьков, перевернуть и жарить еще около 20 секунд.', '5. Подавать горячими, можно со сладким соусом и бананом с шоколадом сверху.']",https://eda.ru/recepty/zavtraki/pankeyki-s-bananom-i-shokoladom-138759
924c1532-c5c8-11ea-8f4a-0242ac1c0002,"Хлеб с сыром, маслинами и оливками","['Французский багет', 'Оливки, фаршированные красным перцем', 'Маслины без косточек', 'Зеленый лук', 'Сливочное масло', 'Майонез', 'Сыр монтерей джек']",['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/110808212803/120214132606/p_O.jpg'],"['Калорийность 1128 ккал', 'Белки 32,2 грамм', 'Жиры 76,9 грамм', 'Углеводы 69,6 грамм']","['1. Мелко нарежьте оливки, маслины и зеленый лук.', '2. В миске смешайте размягченное сливочное масло, тертый сыр, майонез и нарезанные оливки, маслины и зеленый лук. Хорошо перемешайте.', '3. Разогрейте духовку до 160 градусов.', '4. Разрежьте багет вдоль пополам. На каждый кусок сверху намажьте начинку и выложите на противень. Запекайте 25-30 минут, пока сыр не расплавится и не подрумянится. Порежьте на куски и подавайте.']",https://eda.ru/recepty/zavtraki/hleb-s-sirom-maslinami-olivkami-25223
925ce9f2-c5c8-11ea-9ee3-0242ac1c0002,"Омлет со свежими кабачками, тыквой и свежими белыми грибами","['Кабачки', 'Тыква', 'Белые грибы', 'Яйцо куриное', 'Зелень']",[],"['Калорийность 144 ккал', 'Белки 10,6 грамм', 'Жиры 8,7 грамм', 'Углеводы 5,1 грамм']","['1. Овощи очистить, нарезать кубиками, а грибы — тонкими ломтиками, посолить и поджарить, а потом смешать со взбитыми яйцами.', '2. Эти омлеты хорошо полить горячим густым соусом из сметаны и посыпать рубленой зеленью петрушки или укропом.']",https://eda.ru/recepty/zavtraki/omlet-so-svezhimi-kabachkami-tikvoj-svezhimi-belimi-gribami-15196
92876eb6-c5c8-11ea-9799-0242ac1c0002,Завтрак детства,"['Морковь', 'Яблоко', 'Апельсины', 'Изюм', 'Мед', 'Орехи', 'Молотая корица']","['//eda.ru/img/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213175233/120214124256/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/131227123933/140109073519/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/110808212803/141101100648/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/141214012603/141224173333/p_O.jpg', '//eda.ru/img/eda/-x900i/s2.eda.ru/StaticContent/Photos/141214012603/141224173335/p_O.jpg']","['Калорийность 623 ккал', 'Белки 13 грамм', 'Жиры 21,6 грамм', 'Углеводы 97,1 грамм']","['1. Морковь и зеленое яблоко натереть на средней терке.', '2. С апельсина снять цедру. Из 1 половинки выдавить сок, вторую нарезать небольшими кусочками.', '3. Смешать яблоко, морковь, апельсин, изюм и орехи (любые, ваши любимые), заправить соком и медом, добавить корицу.']",https://eda.ru/recepty/zavtraki/zavtrak-detstva-22998
92bebbdc-c5c8-11ea-9d84-0242ac1c0002,Яблочно-гречневая каша,"['Гречневая крупа', 'Яблочное пюре', 'Молотая корица', 'Мускатный орех', 'Соль', 'Вода', 'Яблоко', 'Изюм', 'Молоко растительное']",[],"['Калорийность 1338 ккал', 'Белки 32,5 грамм', 'Жиры 11,3 грамм', 'Углеводы 294,2 грамм']","['1. Довести воду до кипения. Добавить гречку, яблочное пюре, молотую корицу, мускатный орех и соль. Смешать все ингредиенты. Отварить гречку до готовности, чтобы вода полностью впиталась.', '2. Добавить нарезанное яблоко и изюм и перемешать. Дать настояться минутку или две, не убавляя огонь.', '3. Добавить желаемое количество молока и перемешать.', '4. Посыпать орехами или свежими фруктами сверху для украшения.']",https://eda.ru/recepty/zavtraki/yablochno-grechnevaya-kasha-139122
